설치장소명,와이파이SSID,관리기관전화번호,위도,경도
영등포구청,PublicWiFi@YDP,02-2670-4275,37.518818,126.894075
서대문구 드림스타트센터,Public WiFi FREE,02-3140-8664,37.57816759,126.9090361
서대문장애인종합복지관,Public WiFi FREE,02-3140-8664,37.55947096,126.9570364
서대문체육회관,Public WiFi FREE,02-3140-8664,37.58075973,126.9315574
구립서대문데이케어센터,Public WiFi FREE,02-3140-8664,37.59828213,126.9559425
모래내시장,Public WiFi FREE,02-3140-8664,37.56971244,126.9161715
백련 어린이공원,Public WiFi FREE,02-3140-8664,37.58227358,126.9243244
하린어린이집,Public WiFi FREE,02-3140-8664,37.56961341,126.9259831
음암보건지소,Public WiFi Free,1899-4876,36.801898,126.519501
신촌일대,PublicWiFi@Seoul,02-3140-8664,37.55883537,126.9396711
신촌일대,PublicWiFi@Seoul,02-3140-8664,37.55726553,126.9377092
연남어린이공원,PublicWiFi@Seoul,02-3140-8664,37.57819624,126.9250687
연서어린이공원,PublicWiFi@Seoul,02-3140-8664,37.57224104,126.9235398
은가어린이공원,PublicWiFi@Seoul,02-3140-8664,37.58299418,126.9196659
홍남어린이공원,PublicWiFi@Seoul,02-3140-8664,37.57786529,126.9292655
홍연어린이공원,PublicWiFi@Seoul,02-3140-8664,37.57994601,126.9267021
홍은종합사회복지관,Public WiFi FREE,02-3140-8664,37.59539413,126.946431
홍제천,PublicWiFi@Seoul,02-3140-8664,37.58109748,126.9370056
다문화가족지원센터,Public WiFi FREE,02-3140-8664,37.58299306,126.9128774
북가좌2동 노인복지센터,Public WiFi FREE,02-3140-8664,37.58120413,126.9179051
남가좌1동주민센터,Public WiFi@Seodaemun,02-3140-8664,37.57327487,126.9197797
(사)한국농아인협회서울시협회,Public WiFi FREE,02-3140-8664,37.5608245,126.9616588
거꾸로 어린이공원,PublicWiFi@Seoul,02-3140-8664,37.58499528,126.9134147
궁말어린이공원,PublicWiFi@Seoul,02-3140-8664,37.57103226,126.9338165
불천어린이공원,PublicWiFi@Seoul,02-3140-8664,37.59732503,126.9480158
신가어린이공원,Public WiFi@Seoul,02-3140-8664,37.58016375,126.908353
신촌일대,PublicWiFi@Seoul,02-3140-8664,37.55826807,126.933249
신촌일대,PublicWiFi@Seoul,02-3140-8664,37.55757852,126.934994
신촌일대,PublicWiFi@Seoul,02-3140-8664,37.55703623,126.9347057
신촌일대,PublicWiFi@Seoul,02-3140-8664,37.55752266,126.9376676
신촌일대,PublicWiFi@Seoul,02-3140-8664,37.55785864,126.938886
홍박공원,Public WiFi@Seoul,02-3140-8664,,
중앙소공원,Public WiFi@Seoul,02-3140-8664,37.59886794,126.9477169
홍제천 폭포마당,Public WiFi FREE,02-3140-8664,37.58195569,126.9380517
신촌기차역,Public WiFi@Seoul,02-3140-8664,37.55872521,126.9424498
신촌기차역,Public WiFi@Seoul,02-3140-8664,37.55837803,126.943139
신촌오거리,Public WiFi@Seoul,02-3140-8664,37.55652228,126.933381
어울 어린이공원,G_PublicWiFi@SeongNam,031-729-8522,37.401664,127.111352
판교박물관,Public WiFi Free,031-1588-9010,37.400864,127.095634
이매2동 주민센터,G_PublicWiFi@SeongNam,031-729-7072,37.399545,127.121803
이매1동 주민센터,G_PublicWiFi@SeongNam,031-729-7072,37.399526,127.127148
테크노파크공원,G_PublicWiFi@SeongNam,031-729-8522,37.399395,127.107298
방아교,G_PublicWiFi@SeongNam,031-729-8522,37.39899,127.124081
봄볕 어린이공원,G_PublicWiFi@SeongNam,031-729-8522,37.3982,127.097463
화랑공원,G_PublicWiFi@SeongNam,031-729-8522,37.397384,127.105387
농업기술센터(자원봉사센터),Public WiFi Free,031-1588-9010,37.397291,127.129442
이매교,G_PublicWiFi@SeongNam,031-729-8522,37.395087,127.124155
나들이공원,G_PublicWiFi@SeongNam,031-729-8522,37.394634,127.116466
운중체육공원1,G_PublicWiFi@SeongNam,031-729-8522,37.392524,127.071004
판교도서관,Public WiFi Free,031-1544-8585,37.392045,127.090327
판교도서관,G_PublicWiFi@SeongNam,031-729-8642,37.392018,127.090389
연산1동주민센터,,051-665-4171,35.189991,129.090409
바람길 어린이공원,G_PublicWiFi@SeongNam,031-729-8522,37.391948,127.066628
판교청소년수련관,Public WiFi Free,031-1544-8585,37.391903,127.091173
눈꽃 어린이공원,G_PublicWiFi@SeongNam,031-729-8522,37.391323,127.083561
울산문수축구경기장2F_3번출입구우측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_3번출입구좌측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_5번출입구우측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_5번출입구좌측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_8번출입구우측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_8번출입구좌측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
문수실내수영장1F 남자화장실앞_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
문수실내수영장1F 여자화장실앞_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
문수실내수영장1F 우측출입구_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
문수실내수영장1F 좌측출입구_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수야구장 1F-시설관리사무실_GDW2R,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수야구장 원정팀 1F-락커룸안_GDW2R,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수야구장 원정팀 1F-방송기록실안_GDW2R,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수야구장 원정팀 1F-사진기자실안_GDW2R,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수야구장 원정팀 1F-운영실안_GDW2R,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수야구장 원정팀 1F-원정팀선수단휴게실안_GDW2,T Free wifi zone,051-940-3312,35.5354044,129.2597677
개금2동 주민센터,PublicWifiFree,051-605-4174,35.1449231,129.0195062
개금1동 주민센터,PublicWifiFree,051-605-4174,35.1526863,129.0219201
울산문수축구경기장 1F_6번출입구앞_GDW2R,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장 1F_8번출입구앞_GDW2R,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장 1F_VIP실앞_GDW2R,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장 2F_19번출입구우측_OGHD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장 2F_19번출입구좌측_OGHD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장 2F_21번출입구우측_OGHD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장 2F_21번출입구좌측_OGHD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장 2F_24번출입구우측_OGHD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장 2F_24번출입구좌측_OGHD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장 3F_중앙통제실_GDW2R,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장 3F_프리젠테이션실2_GDW2R,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장 3F_프리젠테이션실6_GDW2R,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_12번출입구우측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_12번출입구좌측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_15번출입구우측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_15번출입구좌측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_28번출입구우측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_28번출입구좌측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_31번출입구우측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
울산문수축구경기장2F_31번출입구좌측_GD,T Free wifi zone,051-940-3312,35.5354044,129.2597677
지곡보건지소,Public WiFi Free,1899-4876,36.862367,126.435126
고북면사무소,Public WiFi Free,1899-4876,36.667079,126.533304
성연면주민자치센터,Public WiFi Free,1899-4876,36.839015,126.460883
성연면주민소통방,Public WiFi Free,1899-4876,36.839015,126.460883
구청사 앞버스정류장,Public WiFi FREE,02-1899-4876,37.41748364,127.2564967
광주농업기술센터,Public WiFi FREE,02-1899-4876,37.43194988,127.2343471
광주 전통시장,Public WiFi FREE,02-1899-4876,37.40923622,127.2574017
광주 농협 쌍령리점,Public WiFi FREE,02-1899-4876,37.39826227,127.2750556
곤지암 버스터미널앞 버스정류장,Public WiFi FREE,02-1899-4876,37.34997922,127.3418541
경안천 생태습지공원,Public WiFi FREE,02-1899-4876,37.46076209,127.3052569
경안동 우체국,Public WiFi FREE,02-1899-4876,37.41054426,127.2576316
광주시 문화스포츠센터,wi-fi,031-760-4480,37.42686868,127.254726
시립도서관,"OllehWiFi, U+zone, Free U+zone, Public WiFi FREE, T WiFi zone, Kwangju_lib",031-760-5682,37.41063314,127.2531348
오포도서관,"T WiFi zone, Public WiFi FREE, Gjcity_lib",031-760-5699,37.36920483,127.2312228
곤지암도서관,"T WiFi zone, Gjcity_lib",031-760-5668,37.34904105,127.3410077
농업기술센터,Public WiFi FREE,031-760-2742,37.43194988,127.2343471
광주시청,Free_gjcity,031-760-2742,37.42928622,127.255084
차량등록사업소,Public WiFi FREE,031-760-2742,37.38718652,127.2459589
공설운동장,Free_gjcity,031-760-2742,37.41494972,127.2517703
보건소,Public WiFi FREE,031-760-2742,37.41642991,127.2507275
퇴촌면 행정복지센터,Public WiFi FREE,031-760-2742,37.46690935,127.3071219
경기도 광주시 퇴촌작은도서관,NESPOT,031-760-5682,37.47065196,127.3092016
광남동 행정복지센터,Public WiFi FREE,031-760-2742,37.389029,127.229814
송정동 행정복지센터,Public WiFi FREE,031-760-2742,37.41968948,127.246097
경기도 광주시 초월도서관,chowol_lib,031-760-8603,37.38738146,127.2910941
초월읍 행정복지센터,Public WiFi FREE,031-760-2742,37.38524761,127.2879413
경안동 행정복지센터,Public WiFi FREE,031-760-2742,37.41699272,127.2556701
상하수도사업소,Public WiFi FREE,031-760-2742,37.41748364,127.2564967
남한산성면 행정복지센터,Public WiFi FREE,031-760-2742,37.46338016,127.244665
목1동 청소년독서실,Public WiFi@yangcheon,02-2620-3252,37.52432598,126.8727963
어울림쉼터,Public WiFi@yangcheon,02-2620-3252,37.54538643,126.8715701
금강송면보건지소,Public WiFi Free,054-789-6581,36.934914,129.247577
금강송면사무소,Public WiFi Free,054-789-6581,36.935589,129.247261
신월약수,Public WiFi@yangcheon,02-2620-3252,37.52182611,126.8307642
금실,Public WiFi@yangcheon,02-2620-3252,37.51846179,126.8371878
한울,Public WiFi@yangcheon,02-2620-3252,37.51986048,126.8322799
지양,Public WiFi@yangcheon,02-2620-3252,37.52265852,126.8281876
남부법마을,Public WiFi@yangcheon,02-2620-3252,37.52179125,126.8621671
양명,Public WiFi@yangcheon,02-2620-3252,37.51930236,126.8543936
꽃사슴,Public WiFi@yangcheon,02-2620-3252,37.5216376,126.8485338
다락골,Public WiFi@yangcheon,02-2620-3252,37.51534012,126.8503654
양목(신정4동제1구립),Public WiFi@yangcheon,02-2620-3252,37.52491563,126.8619169
양정(신정4동제2구립),Public WiFi@yangcheon,02-2620-3252,37.52200231,126.8548363
양동,Public WiFi@yangcheon,02-2620-3252,37.52685544,126.8507678
청솔,Public WiFi@yangcheon,02-2620-3252,37.52642901,126.8586198
서부,Public WiFi@yangcheon,02-2620-3252,37.52830828,126.8599422
갈산,Public WiFi@yangcheon,02-2620-3252,37.51098337,126.8689869
오금,Public WiFi@yangcheon,02-2620-3252,37.50633189,126.8637743
용왕,Public WiFi@yangcheon,02-2620-3252,37.54621677,126.8797614
새말,Public WiFi@yangcheon,02-2620-3252,37.53980224,126.8701087
양화경로당,Public WiFi@yangcheon,02-2620-3252,37.5447291,126.8736125
월촌,Public WiFi@yangcheon,02-2620-3252,37.54330429,126.8724653
한두,Public WiFi@yangcheon,02-2620-3252,37.54934393,126.8653845
백석,Public WiFi@yangcheon,02-2620-3252,37.54533219,126.8649436
나말,Public WiFi@yangcheon,02-2620-3252,37.54186797,126.8642619
마장(목4동구립),Public WiFi@yangcheon,02-2620-3252,37.53162773,126.8663034
청산,Public WiFi@yangcheon,02-2620-3252,37.53872553,126.8644803
정목,Public WiFi@yangcheon,02-2620-3252,37.53687744,126.8683396
신대,Public WiFi@yangcheon,02-2620-3252,37.53266412,126.8313009
월성,Public WiFi@yangcheon,02-2620-3252,37.53187402,126.8358372
곰달래,Public WiFi@yangcheon,02-2620-3252,37.52861093,126.8347809
신곡,Public WiFi@yangcheon,02-2620-3252,37.52629287,126.8449043
당곡,Public WiFi@yangcheon,02-2620-3252,37.52412419,126.8428816
중앙,Public WiFi@yangcheon,02-2620-3252,37.52207633,126.8450171
신원,Public WiFi@yangcheon,02-2620-3252,37.53399624,126.8278629
신남,Public WiFi@yangcheon,02-2620-3252,37.53126419,126.8302043
태양,Public WiFi@yangcheon,02-2620-3252,37.52427685,126.838501
자양,Public WiFi@yangcheon,02-2620-3252,37.51859554,126.8401241
밝은빛,Public WiFi@yangcheon,02-2620-3252,37.5214408,126.8413804
소망,Public WiFi@yangcheon,02-2620-3252,37.52212108,126.8380803
수명(신월5동구립),Public WiFi@yangcheon,02-2620-3252,37.54156592,126.8287462
신양,Public WiFi@yangcheon,02-2620-3252,37.53833343,126.8314601
강월,Public WiFi@yangcheon,02-2620-3252,37.51546584,126.8364523
늘푸른,Public WiFi@yangcheon,02-2620-3252,37.52307341,126.8335216
15-270,Public WiFi@yangcheon,02-2620-3252,37.52431316,126.8645154
15-303,Public WiFi@yangcheon,02-2620-3252,37.51975084,126.8527638
15-251,Public WiFi@yangcheon,02-2620-3252,37.51931941,126.8536063
15-274,Public WiFi@yangcheon,02-2620-3252,37.52452093,126.8543699
15-293,Public WiFi@yangcheon,02-2620-3252,37.52152778,126.8338689
15-221,Public WiFi@yangcheon,02-2620-3252,37.52173364,126.8420676
15-337,Public WiFi@yangcheon,02-2620-3252,37.5358287,126.8289856
성동종합사회복지관,,02-2286-5177,37.570174,127.033381
15-222,Public WiFi@yangcheon,02-2620-3252,37.52122172,126.8392813
15-347,Public WiFi@yangcheon,02-2620-3252,37.53916738,126.8274528
15-214,Public WiFi@yangcheon,02-2620-3252,37.52135039,126.8466023
15-168,Public WiFi@yangcheon,02-2620-3252,37.52459745,126.8773118
15-211,Public WiFi@yangcheon,02-2620-3252,37.52257974,126.8497039
15-323,Public WiFi@yangcheon,02-2620-3252,37.51350833,126.8360675
15-220,Public WiFi@yangcheon,02-2620-3252,37.52236241,126.8433197
15-218,Public WiFi@yangcheon,02-2620-3252,37.51806119,126.8420889
15-333,Public WiFi@yangcheon,02-2620-3252,37.53215228,126.8312522
15-154,Public WiFi@yangcheon,02-2620-3252,37.53685458,126.8843701
신월7동 골목시장,Public WiFi@yangcheon,02-2620-3252,37.54604846,126.8738864
신정3동 골목시장,Public WiFi@yangcheon,02-2620-3252,37.54826438,126.8668349
신월3동 골목시장,Public WiFi@yangcheon,02-2620-3252,37.53365418,126.8256235
목2동 골목시장,Public WiFi@yangcheon,02-2620-3252,37.5227088,126.8330926
신정2동 골목시장,Public WiFi@yangcheon,02-2620-3252,37.52062793,126.8538209
목동 깨비시장,Public WiFi@yangcheon,02-2620-3252,37.54818327,126.8652282
신정1동 골목시장,Public WiFi@yangcheon,02-2620-3252,37.5208404,126.8536847
청목(목1동구립),Public WiFi@yangcheon,02-2620-3252,37.52432598,126.8727963
오목,Public WiFi@yangcheon,02-2620-3252,37.52522637,126.8722291
강원도립대학(버스정류장),Smart Gangneung,033-640-5327,37.87666839,128.82833
해태어린이공원,Public WiFi@yangcheon,02-2620-3252,37.52179125,126.8621671
신정어린이공원,Public WiFi@yangcheon,02-2620-3252,37.51997424,126.8745728
꽃사슴어린이공원,Public WiFi@yangcheon,02-2620-3252,37.5216376,126.8485338
숲속어린이공원,Public WiFi@yangcheon,02-2620-3252,37.51513361,126.8308653
동개울어린이공원,Public WiFi@yangcheon,02-2620-3252,37.528038,126.856956
안산어린이공원,Public WiFi@yangcheon,02-2620-3252,37.52455873,126.8558042
양천도시농업공원,Public WiFi@yangcheon,02-2620-3252,37.51296107,126.8263639
오솔길 공원,Public WiFi@yangcheon,02-2620-3252,37.52122785,126.8358741
파리근린공원,Public WiFi@yangcheon,02-2620-3252,37.53447585,126.8771418
양천근린공원,Public WiFi@yangcheon,02-2620-3252,37.51780062,126.867604
계남근린공원,Public WiFi@yangcheon,02-2620-3252,37.51052262,126.8570483
지양산 생태순환길,Public WiFi@yangcheon,02-2620-3252,37.51859721,126.826007
용왕산 유아숲체험원,Public WiFi@yangcheon,02-2620-3252,37.54003259,126.8731407
계남 유아숲체험원,Public WiFi@yangcheon,02-2620-3252,37.51052262,126.8570483
지양산 해맞이마을,Public WiFi@yangcheon,02-2620-3252,37.52136324,126.8296838
안양천,Public WiFi@yangcheon,02-2620-3252,37.51622547,126.8774386
안양천,Public WiFi@yangcheon,02-2620-3252,37.51837732,126.8776885
안양천,Public WiFi@yangcheon,02-2620-3252,37.53320362,126.8880007
15-160,Public WiFi@yangcheon,02-2620-3252,37.5273837,126.8644465
15-167,Public WiFi@yangcheon,02-2620-3252,37.52510894,126.8736275
15-285,Public WiFi@yangcheon,02-2620-3252,37.52607345,126.8627158
회천4동주민센터,lguplus100,031-8082-5371,37.83724094,127.0901686
회천3동주민센터,lguplus100,031-8082-5371,37.8378283,127.0689255
회천2동주민센터,lguplus100,031-8082-5371,37.82166163,127.0467626
회천1동주민센터,lguplus100,031-8082-5371,37.84417261,127.0661365
양주2동주민센터,lguplus100,031-8082-5371,37.79689598,127.0803459
양주1동주민센터,lguplus100,031-8082-5371,37.77336037,127.0440716
장흥면사무소,lguplus100,031-8082-5371,37.71788305,126.941067
광적면사무소,lguplus100,031-8082-5371,37.82459248,126.9836304
남면사무소,lguplus100,031-8082-5371,37.89812691,126.9767242
감포읍사무소,Public WiFi,054-779-6203,35.80713464,129.5012753
안강읍사무소,Public WiFi,054-779-6203,35.99015242,129.2270217
해누리타운,Public WiFi@yangcheon,02-2620-3252,37.5159763,126.8638564
신월4동 먹자골목,Public WiFi@yangcheon,02-2620-3252,37.52107752,126.8419242
신월4동 먹자골목,Public WiFi@yangcheon,02-2620-3252,37.51982307,126.8417323
신정네거리역,Public WiFi@yangcheon,02-2620-3252,37.51984931,126.8537002
용왕산근린공원,Public WiFi@yangcheon,02-2620-3252,37.54343914,126.8772809
신월근린공원,Public WiFi@yangcheon,02-2620-3252,37.51754454,126.8332941
독서근린공원,Public WiFi@yangcheon,02-2620-3252,37.51907588,126.8356073
한울근린공원,Public WiFi@yangcheon,02-2620-3252,37.51986048,126.8322799
양지근린공원,Public WiFi@yangcheon,02-2620-3252,37.52182611,126.8307642
송죽어린이공원,Public WiFi@yangcheon,02-2620-3252,37.53929873,126.8335942
금실어린이공원,Public WiFi@yangcheon,02-2620-3252,37.51846179,126.8371878
강릉시 교2동 7-1(생활체육센터),Smart Gangneung,033-640-5327,37.77370501,128.8978333
시내공원(응암어린이),Public WiFi@Seoul,02-2133-2871,37.601651,126.923598
녹번마을마당,Public WiFi@Seoul,02-2133-2871,37.606105,126.927625
관동공원,Public WiFi@Seoul,02-2133-2871,37.613598,126.929874
한국뇌병변장애인인권협회,,02-2133-2871,37.5551859,127.0861452
예천군여성회관,Public WiFi Free,054-650-6300,36.656784,128.452427
예천버스터미널,Public WiFi Free,054-650-6300,36.648311,128.4432367
용문보건지소,Public WiFi Free,054-650-6300,36.688887,128.409702
효자.은풍통합보건지소,Public WiFi Free,054-650-6300,36.745594,128.443778
감천보건지소,Public WiFi Free,054-650-6300,36.722987,128.528673
보문보건지소,Public WiFi Free,054-650-6300,36.664757,128.508898
호명보건지소,Public WiFi Free,054-650-6300,36.593855,128.470376
유천보건지소,Public WiFi Free,054-650-6300,36.635129,128.388583
유궁보건지소,Public WiFi Free,054-650-6300,36.606752,128.282482
코모도호텔1,U-Gyeongju,054-779-6192,35.84445339,129.2847672
코모도호텔2,U-Gyeongju,054-779-6192,35.84445339,129.2847672
보문야외공연장,U-Gyeongju,054-779-6192,35.84353295,129.2865566
육부촌,U-Gyeongju,054-779-6192,35.84369978,129.2869689
대명리조트1,U-Gyeongju,054-779-6192,35.84691147,129.2816188
대명리조트2,U-Gyeongju,054-779-6192,35.84691147,129.2816188
산책로화장실,U-Gyeongju,054-779-6192,35.84816891,129.2794915
현대호텔1,U-Gyeongju,054-779-6192,35.85032041,129.2771903
현대호텔2,U-Gyeongju,054-779-6192,35.85032041,129.2771903
경주시립도서관,U-Gyeongju,054-779-6192,35.85972928,129.2191713
김유신장군동상,U-Gyeongju,054-779-6192,35.8599824,129.2119786
경주시 청소년 수련관,U-Gyeongju,054-779-6192,35.85511199,129.2158899
경주축구공원 2구장,U-Gyeongju,054-779-6192,35.85662525,129.2124146
경주축구공원 3구장,U-Gyeongju,054-779-6192,35.85761491,129.2108022
경주실내체육관 1,U-Gyeongju,054-779-6192,35.86064257,129.2090768
경주실내체육관 2,U-Gyeongju,054-779-6192,35.86064257,129.2090768
경주시민운동장 1,U-Gyeongju,054-779-6192,35.8599824,129.2119786
경주시민운동장 2,U-Gyeongju,054-779-6192,35.8599824,129.2119786
경주 풋살구장,U-Gyeongju,054-779-6192,35.85918608,129.2078257
축구공원 6구장,U-Gyeongju,054-779-6192,35.86035769,129.2069356
경주예술의전당,U-Gyeongju,054-779-6192,35.862359,129.2059917
보건소,Public WiFi Free,063-430-2600,35.79731025,127.434776
하이마트대연,Public Wifi,1899-4876,35.1345871,129.0867443
부산광역시 강서구,Public WiFi,051-970-4174,35.21220134,128.9805838
지사민원센터,Public WiFi,051-970-4174,35.1509286,128.8312942
강동보건지소,Public WiFi,051-970-4174,35.21620512,128.9376702
강서구 보건소,Public WiFi,051-970-4174,35.18023515,128.9572977
힐튼호텔2,U-Gyeongju,054-779-6192,35.83954221,129.2863814
고성군 노인복지관,Public WiFi Free,033-680-3297,38.3782889,128.4676685
